Quizfrage;Was versteht man unter Umformen?;Eine spanlose Änderung der Form eines Werkstücks.;;;
Quizfrage;Welches Fertigungsverfahren gehört zum Umformen?;Biegen.;;;
Quizfrage;Wird beim Umformen Material abgetragen?;Nein.;;;
Quizfrage;Wie nennt man die dauerhafte Verformung eines Werkstoffs?;Plastische Verformung.;;;
Quizfrage;Wie heißt die Verformung, die sich wieder zurückbildet?;Elastische Verformung.;;;
Quizfrage;Nenne ein Umformverfahren für Bleche.;Abkanten.;;;
Quizfrage;Wie heißt das Umformen mit Rollen?;Walzen.;;;
Quizfrage;Wie nennt man das Umformen durch Ziehen eines Blechs in eine Form?;Tiefziehen.;;;
Quizfrage;Welches Werkzeug drückt beim Umformen auf das Werkstück?;Stempel.;;;
Quizfrage;Wie heißt das Gegenstück zum Stempel?;Matrize.;;;
Quizfrage;Wie nennt man das Ausgangsmaterial vor der Bearbeitung?;Rohteil.;;;
Quizfrage;Wie heißt das fertige Teil nach der Bearbeitung?;Fertigteil.;;;
Quizfrage;Welches Metall ist besonders leicht?;Aluminium.;;;
Quizfrage;Welcher Werkstoff besteht aus Eisen und maximal 2,06 % Kohlenstoff?;Stahl.;;;
Quizfrage;Wie nennt man die Kraft, die zum Umformen nötig ist?;Umformkraft.;;;
Quizfrage;Welche Maschine wird häufig zum Biegen von Blechen genutzt?;Abkantpresse.;;;
Quizfrage;Wie nennt man das Schmieden ohne feste Form?;Freiformschmieden.;;;
Quizfrage;Wie nennt man Schmieden mit einer festen Form?;Gesenkschmieden.;;;
Quizfrage;Unterschied zwischen Warm- und Kaltumformen?;Der Werkstoff wird erhitzt.;;;
Quizfrage;Was kann mit einem Messschieber gemessen werden?;Längen und Durchmesser.;;;
Quizfrage;Wie nennt man erlaubte Maßabweichungen?;Toleranzen.;;;
Quizfrage;Was ist Ausschuss?;Fehlerhafte Teile.;;;
Quizfrage;Warum ist Arbeitssicherheit wichtig?;Um Unfälle zu vermeiden.;;;
Quizfrage;Wie heißt der rote Sicherheitsschalter an Maschinen?;Not-Aus.;;;
Quizfrage;Welche PSA schützt die Augen?;Schutzbrille.;;;
Quizfrage;Was bedeutet Serienfertigung?;Viele gleiche Teile herstellen.;;;
Quizfrage;Was ist Einzelfertigung?;Herstellung einzelner Teile.;;;
Quizfrage;Wie nennt man die Dauer, die ein Werkzeug nutzbar ist?;Standzeit.;;;
Quizfrage;Wie nennt man das Einrichten einer Maschine vor Produktionsbeginn?;Rüsten.;;;
Quizfrage;Welche Kraft wirkt beim Ziehen?;Zugkraft.;;;
Quizfrage;Welche Kraft wirkt beim Drücken?;Druckkraft.;;;
Quizfrage;Wie heißt ein Schaden durch Überlastung des Materials?;Riss.;;;
Quizfrage;Was beschreibt die Oberfläche eines Werkstücks?;Rauheit oder Glätte.;;;
Quizfrage;Was ist ein Rohr?;Ein hohles Rundprofil.;;;
Quizfrage;Wie nennt man eine Werkstoffprüfung, bei der das Material belastet wird bis es bricht?;Zugversuch.;;;
Quizfrage;Wie nennt man das Gefüge eines Metalls?;Kornstruktur.;;;
Quizfrage;Was zeigt ein Kraftpfeil in der Skizze?;Richtung der wirkenden Kraft.;;;
Quizfrage;Was ist eine Presse?;Eine Maschine zum Umformen durch Druckkräfte.;;;
Quizfrage;Was bedeutet Maßhaltigkeit?;Einhaltung der Maße.;;;
Quizfrage;Was ist ein Gesenk?;Formwerkzeug beim Schmieden.;;;
Quizfrage;Was bedeutet spanlos?;Ohne Materialabtrag.;;;
Quizfrage;Was bedeutet Oberfläche rau?;Unebenheiten sind vorhanden.;;;
Quizfrage;Was ist eine Falte im Blech nach dem Walzen?;Ein Umformfehler.;;;
Quizfrage;Wie heißen die Werkzeuge beim Tiefziehen?;Stempel und Matrize.;;;
Quizfrage;Was bedeutet gleichmäßig umformen?;Ohne starke Abweichungen.;;;
Quizfrage;Warum werden Bleche gebogen?;Um eine gewünschte Form zu erhalten.;;;
Quizfrage;Was ist ein Fehlerteil?;Ein Teil mit Mängeln.;;;
Quizfrage;Was bedeutet PSA?;Persönliche Schutzausrüstung.;;;
Quizfrage;Warum trägt man Handschuhe?;Zum Schutz der Hände.;;;
Quizfrage;Was ist eine Falz?;Umgebogene Kante.;;;
Quizfrage;Was ist eine Kraft?;Ursache für Bewegung oder Verformung.;;;
Quizfrage;Was ist ein Fertigungsfehler?;Z.B Abweichung vom Soll.;;;
Quizfrage;Was ist der Hauptunterschied zwischen Umformen und Fräsen?;Es geht kein Material verloren.;;;
Erklären;Umformen;spanlos;Kraft;Formänderung;
Erklären;Plastische Verformung;elastisch;dauerhaft;Werkstoff;
Erklären;Elastische Verformung;rückgängig;Feder;Spannung;
Erklären;Stauchen;drücken;kürzer;Presse;
Erklären;Strecken;verlängern;Zug;Draht;
Erklären;Biegen;Winkel;Abkantpresse;Kante;
Erklären;Abkanten;Blech;Presse;Winkel;
Erklären;Walzen;Rollen;Blech;Band;
Erklären;Tiefziehen;Blech;Napf;Ziehstempel;
Erklären;Freiformschmieden;Hammer;Amboss;Handarbeit;
Erklären;Gesenkschmieden;Form;Gesenk;Serie;
Erklären;Fließpressen;Druck;Metall;Hohlkörper;
Erklären;Drahtziehen;Durchmesser;Ziehstein;Draht;
Erklären;Strangpressen;Profil;Matrize;Aluminium;
Erklären;Kaltumformen;Raumtemperatur;Festigkeit;ohne Erwärmen;
Erklären;Warmumformen;erhitzen;Ofen;Temperatur;
Erklären;Blech;dünn;Tafel;Metall;
Erklären;Stabmaterial;rund;lang;Vollmaterial;
Erklären;Rohr;hohl;rund;Durchmesser;
Erklären;Streckgrenze;Spannung;dauerhaft;Werkstoff;
Erklären;Zugfestigkeit;reißen;Kraft;Materialprüfung;
Erklären;Umformkraft;Presse;Druck;Newton;
Erklären;Presskraft;Maschine;Kraft;Stempel;
Erklären;Stempel;Werkzeug;drücken;Form;
Erklären;Matrize;Gegenstück;Öffnung;Werkzeug;
Erklären;Gesenk;Schmieden;Form;Werkzeug;
Erklären;Abkantpresse;Maschine;Biegen;Blech;
Erklären;Werkstoff;Material;Metall;Eigenschaften;
Erklären;Stahl;Eisen;Kohlenstoff;Legierung;
Erklären;Aluminium;leicht;NE-Metall;weich;
Erklären;Kupfer;rot;elektrisch;Leitfähigkeit;
Erklären;Messing;Kupfer;Zink;gelb;
Erklären;Reibung;Widerstand;Bewegung;Oberfläche;
Erklären;Schmierung;Öl;Fett;Reibung;
Erklären;Oberfläche;rau;glatt;Struktur;
Erklären;Rissbildung;Bruch;Schaden;Materialfehler;
Erklären;Faltenbildung;Blech;Wellen;Fehler;
Erklären;Werkzeugverschleiß;Abnutzung;Standzeit;Werkzeug;
Erklären;Formänderung;Gestalt;Umformen;verändern;
Erklären;Kraftfluss;Last;Verlauf;Bauteil;
Erklären;Werkstück;Teil;bearbeiten;Material;
Erklären;Rohteil;unbearbeitet;Ausgang;Werkstück;
Erklären;Endprodukt;fertig;Bauteil;Ergebnis;
Erklären;Maschinenbediener;Mensch;steuern;Maschine;
Erklären;Arbeitssicherheit;Schutz;Unfall;Regeln;
Erklären;Schutzeinrichtung;Schutzhaube;Sicherheit;Maschine;
Erklären;Not-Aus;stoppen;Gefahr;Schalter;
Erklären;Schutzbrille;Augen;Sicherheit;PSA;
Erklären;PSA;Schutz;Kleidung;Arbeit;
Erklären;Qualitätskontrolle;prüfen;messen;Ergebnis;
Erklären;Messschieber;Länge;messen;Millimeter;
Erklären;Maßband;Länge;flexibel;messen;
Erklären;Werkstofffehler;Lunker;Riss;Einschluss;
Erklären;Korn-struktur;Gefüge;Kristall;Metall;
Erklären;Gefüge;Struktur;Werkstoff;Körner;
Erklären;Erwärmung;Temperatur;Hitze;Ofen;
Erklären;Ofen;erhitzen;warm;Anlage;
Erklären;Temperatur;Grad;Wärme;kalt;
Erklären;Zugspannung;ziehen;Kraft;Material;
Erklären;Druckspannung;drücken;Kraft;Material;
Erklären;krz-Gitter;Atom;hdp-Gitter;kfz-Gitter;
Erklären;kfz-Gitter;Atom;hdp-Gitter;krz-Gitter;
Erklären;Atom;Elektron;;;
Erklären;Gitterstruktur;hdp-Gitter;krz-Gitter;kfz-Gitter;
Erklären;Umformverfahren;Methode;Technik;Prozess;
Erklären;Körner;Essen Vögel;;;
Erklären;Kristallstruktur;Atom;;;
Erklären;Ausschuss;unbrauchbar;wegwerfen;Fehler;
Erklären;Zugversuch;Probe;reißen;Kraft;
Erklären;Umformtechnik;Fertigung;Metall;Verfahren;
Zeichnen;Hammer;;;;
Zeichnen;Walzen;;;;
Zeichnen;Blech;;;;
Zeichnen;Rohr;;;;
Zeichnen;U-Profil;;;;
Zeichnen;L-Profil;;;;
Zeichnen;Getränkedose;;;;
Zeichnen;Schraube;;;;
Zeichnen;Mutter;;;;
Zeichnen;Zahnrad;;;;
Zeichnen;hdp-Gitter;;;;
Zeichnen;krz-Gitter;;;;
Zeichnen;kfz-Gitter;;;;
Zeichnen;Kristallstruktur;;;;
Zeichnen;Riss im Blech;;;;
Zeichnen;Zugversuchstab;;;;
Zeichnen;Spannungs-Dehnungs-Diagramm;;;;
Zeichnen;Mikro-struktur Körner;;;;
Zeichnen;Versetzung im Gitter;;;;
Zeichnen;Schutzbrille;;;;
Zeichnen;Sicherheitsschuh;;;;
Zeichnen;Messschieber;;;;
Zeichnen;Grat an Kante;;;;
Pantomime;Schmieden;;;;
Pantomime;ein Blech abkanten;;;;
Pantomime;ein Rohr biegen;;;;
Pantomime;eine Dose tiefziehen;;;;
Pantomime;Material zwischen Walzen durchführen;;;;
Pantomime;Schmierstoff auftragen;;;;
Pantomime;mit Messschieber messen;;;;
Pantomime;Schutzbrille aufsetzen;;;;
Pantomime;Sicherheitsschuhe anziehen;;;;
Pantomime;Not-Aus drücken;;;;
Pantomime;Zugversuch durchführen;;;;
